date,home,away,home_score,away_score,ht_home,ht_away,shots_home,shots_away,sot_home,sot_away,fouls_home,fouls_away,corners_home,corners_away,yellow_home,yellow_away,red_home,red_away,possession_home,possession_away,pass_acc_home,pass_acc_away,tackles_home,tackles_away,saves_home,saves_away
2026-02-12,Vasco,Bahia,0,1,0,1,26,8,4,3,15,14,8,4,5,5,0,0,62,38,,,,,,
2026-02-12,Fluminense,Botafogo RJ,1,0,0,0,10,5,5,3,18,11,4,0,6,3,1,0,48,52,,,,,,
2026-02-13,Internacional,Palmeiras,1,3,1,1,26,11,4,7,13,8,16,4,2,2,0,0,62,38,,,,,,
2026-02-19,Athletico-PR,Corinthians,0,1,0,1,16,1,5,1,14,10,8,0,3,4,0,1,55,45,84,80,10,12,2,6
2026-02-25,Bragantino,Athletico-PR,1,1,1,0,5,3,3,3,6,10,2,2,1,2,2,0,56,44,81,78,10,4,2,1
2026-02-25,Remo,Internacional,1,1,1,1,5,7,4,3,5,6,2,8,5,2,0,0,41,59,70,83,7,6,3,4
2026-02-25,Coritiba,São Paulo,0,1,0,0,2,1,0,0,1,5,0,1,3,3,0,0,41,59,77,89,3,5,1,1
2026-02-25,Palmeiras,Fluminense,2,1,2,1,8,13,6,7,16,15,5,10,3,4,0,0,41,59,85,89,18,8,7,10
2026-02-25,Grêmio,Atlético-MG,2,1,0,0,9,4,5,2,12,5,6,3,3,0,0,1,61,39,87,74,9,17,3,9
2026-02-25,Cruzeiro,Corinthians,1,1,1,0,11,4,3,2,15,14,5,3,1,3,1,0,48,52,81,81,9,14,1,2
2026-02-25,Bahia,Chapecoense-SC,0,0,0,0,,,,,,,,,0,0,0,0,,,,,,,,
2026-02-25,Botafogo RJ,Vitoria,0,0,0,0,,,,,,,,,0,0,0,0,,,,,,,,
2026-02-25,Flamengo RJ,Mirassol,0,0,0,0,,,,,,,,,0,0,0,0,,,,,,,,
2026-02-25,Coritiba,Sao Paulo,0,1,0,0,18,9,2,5,5,19,3,7,4,3,0,0,42,58,,,,,,
2026-02-26,Santos,Vasco,2,1,1,1,6,7,3,2,17,16,5,1,1,1,0,0,44,56,81,88,19,16,6,2
2026-02-26,Gremio,Atletico-MG,2,1,0,0,18,8,7,2,14,5,6,3,4,0,0,1,63,37,,,,,,
2026-02-26,Palmeiras,Fluminense,2,1,2,1,14,18,6,7,16,16,5,11,3,4,1,0,35,65,,,,,,
2026-03-10,Mirassol,Santos,2,2,1,0,14,9,9,2,8,7,6,7,1,1,0,0,54,46,90,77,10,12,6,7
